@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,13,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.2,0.5,1,13,1,29,6,49,210.25,1424,58,0,8942,1993,n
0.17,0.51,4,2,1,24,12,6,37.161,1442,94,0,15786,1974,y
0.11,0.5,0,0,1,4,8,6,44.485,1739,65,0,16155,1973,n
0.2,0.51,1,1,0,12,5,13,43.022,1225,62,0,12125,1984,n
0.05,0.53,4,13,1,32,3,3,100.038,937,29,0,11740,1985,y
0.12,0.47,0,3,0,8,4,4,185.143,1241,42,0,442,2016,y
0.14,0.49,1,1,0,4,7,6,24.845,1561,81,0,15065,1976,n
0.18,0.49,1,1,1,9,2,13,69,1578,34,0,13969,1979,n
0.16,0.58,1,14,12,37,15,5,497.818,1381,59,0,11007,1987,y
0.17,0.42,0,3,0,7,19,18,961,1337,43,0,9759,1991,n
0.2,0.52,1,0,0,4,4,8,18.27,938,32,0,2050,2012,n
0.07,0.47,0,0,0,12,10,6,56.067,1478,48,0,16374,1973,y
0.34,0.51,1,4,1,12,3,3,29.762,723,17,0,839,2015,n
0.13,0.54,1,12,0,46,12,4,328.05,1418,74,0.002448,7213,1998,y
0.16,0.48,0,0,0,1,4,16,260.1,1359,68,0,9955,1990,n
0.16,0.47,2,0,0,13,12,2,112.758,1566,70,0,14330,1978,n
0.13,0.48,0,4,0,13,11,12,135.375,1486,89,0.016727,13210,1981,y
0.18,0.55,1,9,0,30,6,11,156.056,1238,57,0,7038,1998,n
0.09,0.53,3,26,1,38,6,5,76.696,1288,54,0,9978,1990,n
0.1,0.54,2,12,0,30,18,15,432,1547,47,0,8506,1994,y
0.16,0.54,2,11,0,35,6,11,183.211,1391,37,0,9306,1992,y
0.12,0.47,0,1,0,1,13,12,55.537,1848,203,0,15422,1975,n
0.17,0.49,1,1,0,9,6,6,174.05,1144,55,0,5783,2002,y
