@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.588235,0.444444,0.299439,0.40102,0,0,0.011236,0,0,0.007092,0.126582,0.295672,0.008197,0.010914,0.254972,0.323887,0.022872,0,0.068149,0.001186,0.090909,0.936,y
Unknown,0.5,0.481481,0.171803,0.280612,0,0,0.05618,0.090909,0.0625,0.092199,0.164557,0.215264,0.057377,0.019155,0.217403,0.103239,0.263351,0,0.197739,0.000368,0.909091,0.8,n
Female,0.411765,0.481481,0.169054,0.280612,0.019231,0.032787,0.05618,0,0.125,0.078014,0.088608,0.265764,0.081967,0.052202,0.210221,0.117409,0.05304,0,0.060069,0.002708,0.181818,0.944,n
Female,0.470588,0.555556,0.245875,0.520408,0,0,0.011236,0,0,0.007092,0.151899,0.047088,0.016393,0.010108,0.322928,0.097166,0.234368,0,0.330836,0.00008,0.090909,0.672,n
Female,0.617647,0.555556,0.339539,0.280612,0,0.032787,0,0.136364,0,0.014184,0.177215,0.250634,0.237705,0.004756,0.422376,0.234818,0.342461,0,0.267261,0.00008,0.090909,0.736,n
Female,0.647059,0.592593,0.347159,0.321429,0.019231,0,0,0.136364,0,0.021277,0.316456,0.066858,0.090164,0.004496,0.404972,0.184211,0.023841,0.361286,0.291393,0.00008,0.090909,0.712,n
Female,0.705882,0.666667,0.263405,0.6,0.019231,0.04918,0.011236,0,0,0.042553,0.050633,0.05051,0.040984,0.048287,0.283425,0.095142,0.076529,0,0.315089,0.00008,0.090909,0.688,n
Female,0.411765,0.481481,0.228059,0.560204,0.038462,0.032787,0,0.113636,0,0.028369,0.202532,0.043611,0.065574,0.006797,0.307182,0.072874,0.099675,0,0.283116,0.00008,0.090909,0.72,n
Female,0.411765,0.555556,0.106439,0.6,0,0,0,0.022727,0,0.007092,0.037975,0.158078,0.04918,0.031668,0.14558,0.153846,0.016441,0,0.068607,0.00008,0.090909,0.936,n
Female,0.676471,0.777778,0.343836,0.240816,0.019231,0.065574,0.089888,0,0.125,0.163121,0.253165,0.289013,0.131148,0.086835,0.372928,0.186235,0.191701,0,0.201703,0.00008,0.363636,0.8,n
Female,0.382353,0.407407,0.244615,0.321429,0,0,0.011236,0.045455,0,0.021277,0.341772,0.046842,0.032787,0.05043,0.375414,0.052632,0.862007,0,0.231433,0.004329,0.636364,0.768,n
Female,0.411765,0.555556,0.219982,0.361224,0,0,0.011236,0.045455,0.0625,0.049645,0.177215,0.042034,0.155738,0.025787,0.314088,0.09919,0.29408,0,0.218931,0.01011,0.181818,0.784,n
Female,0.617647,0.666667,0.264551,0.240816,0,0.04918,0.022472,0.090909,0,0.049645,0.113924,0.050734,0.040984,0.034756,0.328453,0.244939,0.404879,0,0.240275,0.01011,0.545455,0.76,n
Female,0.294118,0.703704,0.181485,0.240816,0,0.065574,0.011236,0.136364,0.0625,0.056738,0.063291,0.034519,0.032787,0.015193,0.237569,0.192308,0.732215,0,0.253387,0.060989,0.909091,0.744,n
Female,0.5,0.62963,0.174782,0.321429,0,0.04918,0.022472,0.022727,0,0.056738,0.189873,0.033211,0.098361,0.01966,0.269061,0.129555,0.454257,0,0.228275,0.060989,0,0.776,n
