Gender,Polarity,Subjectivity,WordCount,FleschReading,OT,NT,BoM,DC,PoGP,AllScriptureCount,StoryNames,TalkingSpeed,AuthorityMentions,WeToYouRatio,WordQuantity,FirstPersonPronoun,PercentInItalics,PercentInQuotes,DaysElapsed,NameSearchResults,Pageviews,MonthGiven,YearGiven,Popular
Female,0.19,0.54,3507.0,5.22,0.0,3.0,2.0,1.0,0.0,8.0,16.0,0.3507,12.0,68.45,1247.0,64.0,0.2865697177074423,0.0,10552,11100000.0,823.0,1.0,1989.0,n
Female,0.14,0.47,1629.0,8.35,0.0,0.0,0.0,6.0,0.0,0.0,11.0,1.7011230823640147,7.0,17.308,702.0,29.0,0.013505217925107428,0.0,216,20200.0,289.0,4.0,2017.0,y
Male,0.18,0.51,4047.0,4.82,1.0,8.0,3.0,1.0,6.0,20.0,22.0,2.510238614297009,0.0,201.667,1229.0,44.0,0.16654311835927849,0.0,869,20200.0,848.0,7.0,2015.0,y
Male,0.16,0.53,3618.0,5.6,0.0,1.0,2.0,3.0,0.0,6.0,6.0,2.8055675031845024,0.0,35.267,1049.0,153.0,0.02321724709784411,0.0,5160,20200.0,1242.0,10.0,2003.0,n
Male,0.18,0.46,5396.0,6.0,1.0,7.0,28.0,6.0,3.0,65.0,6.0,2.2706767929762193,7.0,79.529,1418.0,69.0,0.05559673832468495,0.0,3951,3530.0,2532.0,2.0,2007.0,n
Male,0.2,0.56,4760.0,7.56,0.0,1.0,7.0,3.0,0.0,8.0,10.0,2.80699216243757,9.0,192.045,1232.0,85.0,0.017016806722689074,0.0,5881,546000.0,2203.0,10.0,2001.0,n
Female,0.22,0.49,3247.0,7.95,0.0,0.0,0.0,3.0,0.0,1.0,13.0,0.3247,37.0,35.579,988.0,69.0,0.019094548814290114,0.0006159531875577456,16255,546000.0,371.0,5.0,1973.0,n
Female,0.23,0.53,3400.0,7.57,3.0,1.0,1.0,0.0,0.0,5.0,7.0,2.2051803578099705,20.0,49.0,1096.0,41.0,0.07588235294117647,0.0017647058823529412,15632,8800.0,1099.0,2.0,1975.0,n
Male,0.18,0.49,6825.0,6.0,0.0,2.0,2.0,1.0,1.0,10.0,15.0,3.3043977297375458,21.0,35.133,1766.0,153.0,0.38476190476190475,0.0,7736,8800.0,547.0,9.0,1996.0,n
Male,0.17,0.48,6568.0,4.43,1.0,3.0,8.0,3.0,1.0,21.0,22.0,3.1663632717287338,19.0,290.113,1783.0,102.0,0.21178440925700365,0.0,5869,8800.0,789.0,11.0,2001.0,n
Male,0.19,0.5,4890.0,5.6,1.0,6.0,7.0,6.0,0.0,16.0,15.0,3.057187537511503,19.0,103.5,1476.0,94.0,0.26134969325153373,0.0,6777,8800.0,801.0,5.0,1999.0,n
Male,0.15,0.51,3619.0,4.43,1.0,1.0,3.0,7.0,0.0,7.0,11.0,1.936161076046886,33.0,24.596,982.0,35.0,0.1834760983697154,0.0,13791,8800.0,142.0,2.0,1980.0,n
Male,0.2,0.52,6122.0,4.04,7.0,25.0,2.0,0.0,0.0,38.0,10.0,0.6122,3.0,17.241,1212.0,68.0,0.09261679189807252,0.0,14059,4110.0,1471.0,6.0,1979.0,n
Male,0.22,0.59,5042.0,4.04,3.0,17.0,2.0,1.0,1.0,40.0,8.0,0.5042,4.0,8.982,1086.0,35.0,0.18583895279650933,0.0,15956,10200.0,1453.0,3.0,1974.0,n
Female,0.16,0.53,1109.0,7.18,1.0,0.0,0.0,1.0,0.0,3.0,5.0,2.7391282870362748,0.0,12.5,529.0,40.0,0.20018034265103696,0.0,839,11600.0,179.0,8.0,2015.0,n
Female,0.22,0.52,3317.0,4.43,2.0,8.0,0.0,1.0,0.0,10.0,12.0,2.5090189536702625,3.0,50.973,1048.0,44.0,0.08501658124811577,0.0,3522,11600.0,1734.0,4.0,2008.0,n
Male,0.16,0.44,4482.0,7.56,0.0,3.0,7.0,6.0,0.0,11.0,12.0,2.9692291928713765,6.0,72.25,1126.0,130.0,0.13743864346273985,0.0,554,11600.0,2181.0,5.0,2016.0,y
Female,0.18,0.49,4122.0,6.01,0.0,0.0,3.0,0.0,0.0,6.0,5.0,2.825768928607174,14.0,96.023,1421.0,36.0,0.373847646773411,0.0,722,22200.0,724.0,12.0,2015.0,y
