@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.529412,0.444444,0,0.022472,0,0.070922,0.032787,0.359945,0.153846,0,0.096049,0.904,n
0.588235,0.592593,0.019231,0.011236,0,0.035461,0.04918,0.217956,0.074899,0,0.077144,0.928,n
0.470588,0.481481,0,0.011236,0.25,0.085106,0.016393,0.185083,0.1417,0,0.071808,0.928,n
0.647059,0.555556,0,0,0,0,0,0.069613,0.038462,0,0.040663,0.96,n
0.5,0.62963,0,0,0,0.007092,0.057377,0.122652,0.034413,0,0.09631,0.904,n
0.5,0.62963,0,0,0,0.007092,0.147541,0.23453,0.05668,0.003481,0.040097,0.96,n
0.529412,0.555556,0.038462,0.011236,0,0.056738,0.106557,0.480663,0.137652,0.000851,0.072113,0.928,n
0.764706,0.481481,0,0,0,0.007092,0.065574,0.106077,0.024291,0,0.09067,0.912,n
0.558824,0.407407,0.038462,0,0,0.028369,0.04918,0.068232,0.022267,0,0.112166,0.888,n
0.529412,0.37037,0,0,0,0.028369,0.057377,0.321271,0.133603,0,0.103977,0.896,n
0.411765,0.592593,0,0.022472,0.0625,0.035461,0.02459,0.195028,0.103239,0,0.032016,0.968,n
0.382353,0.740741,0.057692,0.05618,0,0.092199,0.090164,0.243923,0.04251,0,0.17609,0.824,n
0.617647,0.703704,0.019231,0,0.0625,0.028369,0.016393,0.157459,0.074899,0,0.06388,0.936,n
0.676471,0.555556,0,0.033708,0,0.028369,0.02459,0.108011,0.022267,0,0.074814,0.928,n
0.705882,0.481481,0,0.011236,0,0.007092,0.106557,0.129006,0.044534,0,0.104238,0.896,n
0.441176,0.555556,0,0.022472,0,0.056738,0.032787,0.192265,0.101215,0,0.087664,0.912,n
0.647059,0.518519,0,0.011236,0,0.06383,0.040984,0.30884,0.105263,0,0.087969,0.912,n
0.588235,0.592593,0,0,0,0.014184,0.147541,0.328177,0.091093,0,0.040402,0.96,n
0.558824,0.740741,0,0.044944,0.5,0.141844,0.090164,0.31547,0.123482,0,0.126084,0.872,n
0.764706,0.62963,0,0,0,0.007092,0.065574,0.107182,0.02834,0,0.1116,0.888,n
0.323529,0.518519,0,0.022472,0.0625,0.028369,0.057377,0.327072,0.174089,0,0.10352,0.896,n
0.882353,0.481481,0.038462,0.05618,0.125,0.163121,0.032787,0.256906,0.091093,0,0.106525,0.896,n
0.676471,0.555556,0,0,0,0.014184,0.032787,0.072928,0.016194,0,0.08823,0.912,n
0.5,0.444444,0,0,0,0.007092,0,0.055801,0.030364,0,0.032583,0.968,n
0.588235,0.703704,0,0,0.0625,0.049645,0.07377,0.166022,0.04251,0,0.095897,0.904,n
0.794118,0.62963,0,0.011236,0,0.014184,0,0.022652,0,0.019872,0.066886,0.936,n
0.529412,0.37037,0,0,0,0,0.311475,0.151105,0.159919,0,0.061288,0.944,n
0.617647,0.444444,0,0,0,0.021277,0.040984,0.364917,0.078947,0.002269,0.064185,0.936,n
0.794118,0.703704,0,0,0,0.028369,0.032787,0.088398,0.008097,0,0.080302,0.92,n
0.529412,0.296296,0.038462,0,0,0.042553,0.057377,0.226243,0.062753,0,0.085072,0.92,n
0.529412,0.518519,0.019231,0,0,0.014184,0.090164,0.368785,0.131579,0,0.048329,0.952,n
0.764706,0.518519,0,0,0,0.007092,0.016393,0.051657,0.022267,0,0.043102,0.96,n
0.470588,0.592593,0,0.044944,0,0.049645,0.032787,0.251381,0.206478,0,0.108856,0.896,n
0.588235,0.444444,0,0.011236,0,0.021277,0.098361,0.334807,0.119433,0,0.080041,0.92,n
0.411765,0.444444,0,0.011236,0.0625,0.028369,0.221311,0.398066,0.366397,0,0.111905,0.888,n
0.617647,0.62963,0,0.033708,0,0.035461,0.081967,0.201657,0.072874,0,0.053361,0.952,n
0.617647,0.740741,0,0,0,0.014184,0.008197,0.058287,0.026316,0,0.082742,0.92,n
